@relation loanDefault
@attribute Loan_Amount REAL
@attribute Term { '36 months','60 months' }
@attribute Interest_Rate REAL
@attribute Employment_Length { '< 1 year','1 year','2 years','3 years','4 years','5 years','6 years','7 years','8 years','9 years','10+ years','n/a'}
@attribute Home_Ownership { 'OWN','RENT','MORTGAGE','NONE','OTHER'}
@attribute Annual_Income REAL
@attribute Debt_to_Income REAL
@attribute Credit_Score REAL
@attribute Class {'Fully Paid','Charged Off'}
@DATA
7200,'36 months',0.1353,'< 1 year','RENT',48000,23.6,674,'Fully Paid'
12000,'36 months',0.0967,'10+ years','MORTGAGE',45000,16.83,669,'Fully Paid'
24000,'60 months',0.224,'10+ years','MORTGAGE',169000,33.39,694,'Fully Paid'
16000,'36 months',0.0603,'7 years','MORTGAGE',79000,25.76,744,'Fully Paid'
8000,'36 months',0.1447,'< 1 year','RENT',45000,6.21,674,'Fully Paid'
6400,'36 months',0.1398,'5 years','RENT',45000,26.82,664,'Fully Paid'
14000,'60 months',0.1199,'10+ years','MORTGAGE',65000,24.98,739,'Fully Paid'
2800,'36 months',0.1398,'10+ years','MORTGAGE',120000,14.06,699,'Fully Paid'
19200,'36 months',0.1099,'1 year','RENT',105000,10.89,709,'Fully Paid'
8000,'36 months',0.1997,'< 1 year','RENT',67000,19.11,669,'Fully Paid'
35000,'60 months',0.224,'10+ years','MORTGAGE',114000,19.98,704,'Fully Paid'
20000,'60 months',0.1353,'10+ years','MORTGAGE',60000,19.08,709,'Fully Paid'
16000,'36 months',0.1353,'10+ years','MORTGAGE',61000,11.82,684,'Fully Paid'
25000,'60 months',0.1699,'8 years','MORTGAGE',69200,27.94,704,'Fully Paid'
16800,'36 months',0.079,'10+ years','MORTGAGE',75000,13.8,749,'Fully Paid'
4950,'36 months',0.1757,'< 1 year','RENT',20000,8.82,669,'Fully Paid'
15000,'36 months',0.089,'10+ years','OWN',65500,27.5,724,'Fully Paid'
8000,'36 months',0.0967,'7 years','RENT',39000,13.63,689,'Fully Paid'
10000,'36 months',0.0662,'4 years','MORTGAGE',54500,10.11,794,'Fully Paid'
22000,'36 months',0.1498,'10+ years','RENT',49000,20.92,684,'Fully Paid'
17000,'36 months',0.1447,'1 year','MORTGAGE',106780,3.72,674,'Fully Paid'
17000,'36 months',0.1099,'10+ years','MORTGAGE',67000,21.26,749,'Fully Paid'
21250,'60 months',0.1922,'10+ years','RENT',66000,15.6,699,'Fully Paid'
5000,'36 months',0.1199,'1 year','MORTGAGE',35000,23.59,679,'Fully Paid'
21200,'60 months',0.224,'10+ years','MORTGAGE',48000,10.45,709,'Fully Paid'
16000,'60 months',0.1285,'10+ years','MORTGAGE',64000,26.4,704,'Fully Paid'
6400,'36 months',0.0967,'3 years','RENT',40000,18.63,689,'Fully Paid'
10575,'36 months',0.1447,'8 years','MORTGAGE',50000,5.92,699,'Fully Paid'
2000,'36 months',0.1699,'10+ years','RENT',30000,11.4,674,'Fully Paid'
20000,'36 months',0.2148,'5 years','RENT',113250,6.3,669,'Fully Paid'
10400,'36 months',0.0967,'10+ years','MORTGAGE',42000,19,719,'Fully Paid'
28625,'36 months',0.1447,'6 years','RENT',64000,17.63,709,'Fully Paid'
7200,'36 months',0.1561,'4 years','RENT',58000,7.78,674,'Fully Paid'
35000,'36 months',0.1099,'< 1 year','MORTGAGE',124000,22.04,744,'Fully Paid'
4200,'36 months',0.1353,'3 years','OWN',50000,10.78,669,'Fully Paid'
5375,'36 months',0.1285,'< 1 year','RENT',70000,16.66,664,'Fully Paid'
11000,'36 months',0.089,'2 years','RENT',55000,20.38,709,'Fully Paid'
2000,'36 months',0.237,'10+ years','MORTGAGE',75000,9.47,679,'Fully Paid'
6000,'36 months',0.1099,'10+ years','OWN',30000,25.54,689,'Fully Paid'
2300,'36 months',0.1624,'10+ years','RENT',36000,21.83,664,'Fully Paid'
12000,'60 months',0.1757,'2 years','RENT',64000,29.9,689,'Fully Paid'
14000,'36 months',0.0967,'< 1 year','MORTGAGE',165000,6.85,699,'Fully Paid'
2000,'36 months',0.224,'10+ years','MORTGAGE',113000,18.8,699,'Fully Paid'
7200,'36 months',0.0762,'5 years','RENT',74000,6.84,729,'Fully Paid'
14400,'36 months',0.1285,'3 years','MORTGAGE',225000,9.73,689,'Fully Paid'
5000,'36 months',0.1498,'10+ years','OWN',132000,12.91,679,'Fully Paid'
12000,'36 months',0.0762,'2 years','RENT',64400,22.59,719,'Fully Paid'
5000,'36 months',0.1922,'10+ years','MORTGAGE',75000,7.65,669,'Fully Paid'
16300,'36 months',0.1353,'10+ years','OWN',45376,23.78,704,'Fully Paid'
5000,'36 months',0.1199,'10+ years','OWN',68000,29.8,689,'Fully Paid'
20000,'36 months',0.089,'6 years','OWN',170000,9.64,679,'Fully Paid'
5000,'36 months',0.1353,'2 years','RENT',55486,30.71,699,'Fully Paid'
10000,'60 months',0.1922,'10+ years','RENT',37500,22.82,684,'Fully Paid'
11575,'36 months',0.1199,'n/a','OWN',33626.04,23.98,689,'Fully Paid'
24000,'36 months',0.1199,'2 years','MORTGAGE',75000,6.72,704,'Fully Paid'
3500,'36 months',0.237,'10+ years','MORTGAGE',52000,5.05,684,'Fully Paid'
15000,'36 months',0.079,'7 years','MORTGAGE',72000,20.85,699,'Fully Paid'
19600,'36 months',0.1199,'1 year','MORTGAGE',95600,19.21,674,'Fully Paid'
19200,'60 months',0.224,'6 years','MORTGAGE',92600,19.88,694,'Fully Paid'
10000,'36 months',0.1285,'7 years','MORTGAGE',93000,19.82,694,'Fully Paid'
35000,'36 months',0.1561,'1 year','RENT',85000,24.71,704,'Fully Paid'
35000,'36 months',0.1447,'10+ years','MORTGAGE',84012,24.15,689,'Fully Paid'
10000,'36 months',0.1922,'10+ years','MORTGAGE',117000,20.97,684,'Fully Paid'
20000,'36 months',0.1099,'n/a','MORTGAGE',50000,12.43,719,'Fully Paid'
25000,'36 months',0.0762,'10+ years','MORTGAGE',119000,26.27,724,'Fully Paid'
18000,'36 months',0.089,'10+ years','MORTGAGE',80000,15.95,744,'Fully Paid'
6000,'36 months',0.1285,'8 years','RENT',40000,16.8,714,'Fully Paid'
12000,'36 months',0.1199,'2 years','MORTGAGE',90000,11.74,694,'Fully Paid'
3000,'36 months',0.1825,'1 year','RENT',39000,26.06,684,'Fully Paid'
17500,'60 months',0.205,'10+ years','MORTGAGE',39000,33.23,704,'Fully Paid'
14000,'36 months',0.0967,'< 1 year','RENT',100000,18.66,669,'Fully Paid'
6000,'36 months',0.1997,'10+ years','RENT',50000,20.57,669,'Fully Paid'
21850,'60 months',0.205,'10+ years','OWN',62400,14.95,699,'Fully Paid'
10000,'36 months',0.1561,'< 1 year','MORTGAGE',37000,25.33,679,'Fully Paid'
35000,'36 months',0.1624,'10+ years','MORTGAGE',140000,8.81,714,'Fully Paid'
24250,'36 months',0.1561,'10+ years','MORTGAGE',54730,28.64,684,'Fully Paid'
25000,'36 months',0.0662,'10+ years','MORTGAGE',90000,22.01,794,'Fully Paid'
4200,'60 months',0.1825,'2 years','RENT',50000,14.83,694,'Fully Paid'
21000,'36 months',0.1624,'n/a','MORTGAGE',79188,28.94,689,'Fully Paid'
14000,'60 months',0.1757,'7 years','MORTGAGE',60000,9.32,664,'Fully Paid'
10000,'36 months',0.1825,'n/a','RENT',67248,24.23,689,'Fully Paid'
32000,'60 months',0.229,'10+ years','MORTGAGE',235000,9.41,669,'Fully Paid'
5750,'36 months',0.1997,'10+ years','MORTGAGE',43000,31.61,694,'Fully Paid'
20000,'36 months',0.1561,'10+ years','RENT',80000,15.96,679,'Fully Paid'
16000,'36 months',0.1199,'10+ years','MORTGAGE',86000,16.07,684,'Fully Paid'
8000,'36 months',0.1099,'10+ years','RENT',40000,12.64,699,'Fully Paid'
4000,'36 months',0.1199,'6 years','MORTGAGE',50000,5.34,704,'Fully Paid'
23675,'60 months',0.1699,'5 years','RENT',66000,32.47,719,'Fully Paid'
9200,'36 months',0.1199,'6 years','MORTGAGE',98000,13.94,674,'Fully Paid'
25000,'60 months',0.205,'10+ years','MORTGAGE',58000,19.04,679,'Fully Paid'
16000,'60 months',0.1447,'10+ years','MORTGAGE',75000,9.01,669,'Fully Paid'
35000,'36 months',0.1997,'4 years','MORTGAGE',105616,34.63,689,'Fully Paid'
20000,'36 months',0.0762,'10+ years','MORTGAGE',85000,16.73,754,'Fully Paid'
15000,'36 months',0.0603,'10+ years','RENT',120000,24.91,759,'Fully Paid'
15250,'36 months',0.1757,'10+ years','RENT',50000,30.36,664,'Fully Paid'
20000,'36 months',0.079,'10+ years','MORTGAGE',52000,28.5,734,'Fully Paid'
25000,'60 months',0.2148,'7 years','RENT',59100,13.42,684,'Fully Paid'
6000,'36 months',0.1699,'3 years','MORTGAGE',120000,18.13,664,'Fully Paid'
6500,'36 months',0.079,'1 year','RENT',68000,10.98,689,'Fully Paid'
10575,'36 months',0.1447,'n/a','MORTGAGE',59112,27.14,684,'Fully Paid'
16450,'36 months',0.1285,'3 years','MORTGAGE',48000,17.45,689,'Fully Paid'
5000,'36 months',0.1099,'2 years','RENT',22000,6.66,669,'Fully Paid'
5700,'36 months',0.1997,'10+ years','OWN',50000,31.23,699,'Fully Paid'
16000,'36 months',0.1099,'2 years','RENT',85000,14.09,679,'Fully Paid'
9000,'36 months',0.1447,'6 years','RENT',60000,13.67,674,'Fully Paid'
20000,'36 months',0.1285,'5 years','MORTGAGE',53000,18.08,714,'Fully Paid'
16000,'36 months',0.0967,'6 years','RENT',75000,14.54,694,'Fully Paid'
7900,'36 months',0.0662,'1 year','RENT',81000,1.82,744,'Fully Paid'
16425,'60 months',0.1624,'5 years','MORTGAGE',100000,1.13,719,'Fully Paid'
10625,'36 months',0.1099,'10+ years','OWN',32291,23.72,709,'Fully Paid'
10000,'36 months',0.1099,'2 years','RENT',53500,7.42,669,'Fully Paid'
13450,'36 months',0.1624,'n/a','RENT',41000,30.04,684,'Fully Paid'
12000,'36 months',0.1398,'6 years','RENT',35000,8.92,689,'Fully Paid'
15875,'36 months',0.1199,'10+ years','MORTGAGE',55000,29.28,724,'Fully Paid'
9900,'36 months',0.1398,'7 years','OWN',45000,29.15,704,'Fully Paid'
8575,'36 months',0.205,'10+ years','RENT',55000,3.47,699,'Fully Paid'
16000,'36 months',0.1099,'7 years','MORTGAGE',53000,16.53,699,'Fully Paid'
20000,'36 months',0.089,'1 year','OWN',175000,13.89,694,'Fully Paid'
11000,'36 months',0.0662,'5 years','MORTGAGE',125000,11.78,724,'Fully Paid'
14075,'60 months',0.1757,'2 years','MORTGAGE',94500,8.41,669,'Fully Paid'
5300,'36 months',0.1997,'4 years','MORTGAGE',61000,18.43,699,'Fully Paid'
7500,'36 months',0.1398,'8 years','MORTGAGE',43000,6.75,664,'Fully Paid'
16000,'36 months',0.0967,'10+ years','MORTGAGE',51500,19.48,704,'Fully Paid'
24000,'36 months',0.1099,'8 years','OWN',76000,20.56,719,'Fully Paid'
12000,'60 months',0.1498,'2 years','MORTGAGE',65000,18.94,704,'Fully Paid'
12600,'60 months',0.1353,'1 year','RENT',50000,22.04,699,'Fully Paid'
8000,'36 months',0.089,'9 years','RENT',40000,9.51,709,'Fully Paid'
7900,'36 months',0.079,'3 years','RENT',60000,19.64,694,'Fully Paid'
10000,'36 months',0.1099,'8 years','MORTGAGE',140000,6.09,699,'Fully Paid'
10000,'36 months',0.1922,'10+ years','RENT',45000,17.79,674,'Fully Paid'
4200,'36 months',0.1199,'10+ years','OWN',85000,28.19,704,'Fully Paid'
29175,'60 months',0.1922,'3 years','OWN',65000,13.93,719,'Fully Paid'
28000,'36 months',0.089,'6 years','MORTGAGE',170000,19.29,699,'Fully Paid'
3200,'36 months',0.1699,'< 1 year','RENT',30000,13.28,664,'Fully Paid'
35000,'36 months',0.089,'10+ years','MORTGAGE',105000,11.38,739,'Fully Paid'
15350,'36 months',0.1624,'4 years','RENT',40544,9.35,689,'Fully Paid'
8000,'36 months',0.1353,'1 year','MORTGAGE',54036,28.43,724,'Fully Paid'
15000,'36 months',0.089,'5 years','OWN',70000,14.5,714,'Fully Paid'
9000,'36 months',0.1757,'6 years','MORTGAGE',110000,13.05,679,'Fully Paid'
25000,'60 months',0.1561,'< 1 year','RENT',65000,33.09,689,'Fully Paid'
19200,'36 months',0.0967,'10+ years','RENT',47520,20,689,'Fully Paid'
19000,'36 months',0.089,'6 years','RENT',62000,18.08,664,'Fully Paid'
4000,'36 months',0.1922,'1 year','OWN',38000,33.35,684,'Fully Paid'
10050,'36 months',0.1498,'7 years','MORTGAGE',40000,10.11,699,'Fully Paid'
14400,'60 months',0.1757,'9 years','RENT',43000,24.11,689,'Fully Paid'
20000,'36 months',0.089,'5 years','RENT',125000,19.52,674,'Fully Paid'
9725,'36 months',0.1099,'5 years','RENT',28000,16.29,729,'Fully Paid'
9600,'36 months',0.0603,'6 years','RENT',50000,17.52,789,'Fully Paid'
5000,'36 months',0.079,'9 years','RENT',86000,11.53,709,'Fully Paid'
6500,'36 months',0.1757,'7 years','MORTGAGE',37000,19.46,689,'Fully Paid'
32000,'36 months',0.1285,'10+ years','MORTGAGE',85000,10.01,669,'Fully Paid'
10375,'36 months',0.1099,'8 years','MORTGAGE',30000,18.28,724,'Fully Paid'
5825,'36 months',0.1561,'3 years','MORTGAGE',65000,9.01,669,'Fully Paid'
5000,'36 months',0.1398,'10+ years','MORTGAGE',130000,20.68,674,'Fully Paid'
15000,'60 months',0.1398,'10+ years','MORTGAGE',89000,10.35,694,'Fully Paid'
15675,'36 months',0.1825,'9 years','MORTGAGE',50000,31.69,674,'Fully Paid'
32000,'60 months',0.1447,'10+ years','MORTGAGE',125000,20.37,729,'Fully Paid'
21000,'36 months',0.0662,'10+ years','OWN',75000,10.83,739,'Fully Paid'
15000,'36 months',0.1699,'7 years','MORTGAGE',140000,20.66,674,'Fully Paid'
20000,'36 months',0.089,'10+ years','MORTGAGE',109000,27.45,684,'Fully Paid'
20000,'60 months',0.1922,'10+ years','MORTGAGE',59000,18.67,689,'Fully Paid'
20000,'36 months',0.1353,'3 years','MORTGAGE',45000,32.58,679,'Fully Paid'
12000,'36 months',0.0967,'5 years','RENT',60000,9.34,684,'Fully Paid'
11000,'36 months',0.1447,'8 years','MORTGAGE',75000,17.76,674,'Fully Paid'
13600,'36 months',0.1285,'3 years','RENT',125000,11.67,729,'Fully Paid'
14000,'36 months',0.1199,'10+ years','MORTGAGE',58000,20.34,694,'Fully Paid'
10000,'36 months',0.1447,'5 years','MORTGAGE',72490,31.61,664,'Fully Paid'
12000,'36 months',0.1353,'10+ years','MORTGAGE',78000,8.58,669,'Fully Paid'
5600,'36 months',0.1353,'10+ years','RENT',76000,15.13,674,'Fully Paid'
7500,'36 months',0.1285,'< 1 year','RENT',40000,22.44,744,'Fully Paid'
20000,'36 months',0.089,'2 years','OWN',130000,9.28,709,'Fully Paid'
4500,'36 months',0.089,'10+ years','RENT',30000,18.19,684,'Fully Paid'
20000,'36 months',0.079,'2 years','MORTGAGE',120000,9.66,714,'Fully Paid'
15000,'36 months',0.0762,'4 years','RENT',100000,11.05,734,'Fully Paid'
8000,'36 months',0.0967,'1 year','RENT',42000,4.54,699,'Fully Paid'
9000,'36 months',0.1099,'8 years','RENT',73000,23.55,704,'Fully Paid'
26000,'36 months',0.1199,'10+ years','MORTGAGE',70000,20.56,704,'Fully Paid'
30000,'36 months',0.1285,'2 years','MORTGAGE',72000,16.72,699,'Fully Paid'
35000,'36 months',0.1398,'2 years','MORTGAGE',162500,13.64,699,'Fully Paid'
20000,'36 months',0.089,'4 years','MORTGAGE',86699,8.94,734,'Fully Paid'
11100,'60 months',0.1825,'< 1 year','OWN',32000,7.61,719,'Fully Paid'
4000,'36 months',0.1199,'1 year','RENT',22000,18.6,719,'Fully Paid'
3600,'36 months',0.1285,'10+ years','MORTGAGE',95000,14.24,694,'Fully Paid'
12000,'36 months',0.079,'3 years','RENT',50000,15.77,709,'Fully Paid'
5000,'36 months',0.0762,'2 years','RENT',64000,12.3,734,'Fully Paid'
35000,'36 months',0.205,'10+ years','OWN',350000,16.65,664,'Fully Paid'
15000,'36 months',0.1353,'10+ years','MORTGAGE',80000,7.3,664,'Fully Paid'
5000,'36 months',0.0662,'1 year','RENT',34000,28.38,724,'Fully Paid'
35000,'36 months',0.0967,'8 years','MORTGAGE',190000,12.4,714,'Fully Paid'
18000,'60 months',0.1757,'< 1 year','MORTGAGE',55000,25.79,694,'Fully Paid'
30000,'60 months',0.1353,'10+ years','MORTGAGE',129700,16.84,789,'Fully Paid'
5000,'36 months',0.1398,'2 years','RENT',63860,21.35,699,'Fully Paid'
12000,'36 months',0.1199,'10+ years','RENT',90000,18.12,689,'Fully Paid'
35000,'60 months',0.1922,'8 years','MORTGAGE',350000,12.17,679,'Fully Paid'
7000,'36 months',0.1997,'3 years','MORTGAGE',30000,12.44,689,'Fully Paid'
10000,'36 months',0.1285,'3 years','RENT',75000,24.26,664,'Fully Paid'
7000,'36 months',0.1997,'4 years','RENT',45000,17.89,674,'Fully Paid'
21600,'36 months',0.0967,'7 years','MORTGAGE',200000,3.71,724,'Fully Paid'
24000,'36 months',0.0967,'10+ years','MORTGAGE',90000,29.88,704,'Fully Paid'
8500,'36 months',0.079,'3 years','MORTGAGE',39000,25.82,704,'Fully Paid'
5000,'36 months',0.1099,'4 years','MORTGAGE',32000,5.96,699,'Fully Paid'
12000,'36 months',0.1398,'10+ years','MORTGAGE',75000,10.64,699,'Fully Paid'
8000,'36 months',0.1447,'10+ years','MORTGAGE',49000,20.13,664,'Fully Paid'
30000,'36 months',0.234,'7 years','RENT',105000,18.61,669,'Fully Paid'
16000,'36 months',0.1285,'1 year','RENT',60000,19.86,689,'Fully Paid'
15250,'36 months',0.1447,'10+ years','RENT',50000,6.34,684,'Fully Paid'
15000,'36 months',0.0967,'10+ years','MORTGAGE',105000,15.25,664,'Fully Paid'
8725,'36 months',0.1922,'n/a','MORTGAGE',51396,11.86,679,'Fully Paid'
5000,'36 months',0.089,'8 years','RENT',42000,26.26,714,'Fully Paid'
15000,'36 months',0.1199,'n/a','RENT',48000,12.48,709,'Fully Paid'
7000,'36 months',0.1699,'6 years','RENT',56000,12.82,669,'Fully Paid'
25000,'36 months',0.0762,'10+ years','MORTGAGE',82000,10.91,734,'Fully Paid'
24000,'36 months',0.089,'6 years','MORTGAGE',89000,1.91,734,'Fully Paid'
8950,'36 months',0.0762,'10+ years','RENT',102000,6.16,814,'Fully Paid'
21000,'36 months',0.089,'10+ years','MORTGAGE',200000,11.08,744,'Fully Paid'
3200,'36 months',0.1447,'10+ years','MORTGAGE',46000,13.93,674,'Fully Paid'
15000,'36 months',0.1199,'5 years','MORTGAGE',40000,28.44,679,'Fully Paid'
10000,'36 months',0.1099,'10+ years','RENT',77000,22.1,699,'Fully Paid'
11775,'36 months',0.0762,'10+ years','RENT',49900,1.61,724,'Fully Paid'
3825,'36 months',0.1757,'n/a','RENT',23004,32.86,674,'Fully Paid'
20800,'60 months',0.1447,'10+ years','RENT',62401,13.71,744,'Fully Paid'
15000,'36 months',0.1498,'10+ years','MORTGAGE',75000,2.83,734,'Fully Paid'
14000,'36 months',0.1699,'5 years','MORTGAGE',117000,10.64,669,'Fully Paid'
14125,'36 months',0.1199,'10+ years','MORTGAGE',98000,30.47,744,'Fully Paid'
24000,'60 months',0.1922,'5 years','MORTGAGE',185000,17.29,674,'Fully Paid'
14500,'36 months',0.079,'2 years','MORTGAGE',62000,28.86,719,'Fully Paid'
12000,'36 months',0.1353,'2 years','MORTGAGE',53000,14.54,664,'Fully Paid'
10000,'36 months',0.1285,'2 years','MORTGAGE',74000,12.67,724,'Fully Paid'
7000,'36 months',0.1285,'7 years','MORTGAGE',72000,21.48,664,'Fully Paid'
10800,'60 months',0.1498,'10+ years','MORTGAGE',50000,30.27,724,'Fully Paid'
20000,'36 months',0.0762,'10+ years','MORTGAGE',120000,12.6,669,'Fully Paid'
15000,'36 months',0.0967,'2 years','MORTGAGE',107500,26.01,684,'Fully Paid'
13200,'60 months',0.1757,'3 years','MORTGAGE',85000,15.69,684,'Fully Paid'
15000,'36 months',0.0762,'2 years','OWN',55600,13.17,704,'Fully Paid'
7000,'36 months',0.1447,'2 years','MORTGAGE',78000,10.75,699,'Fully Paid'
12000,'36 months',0.089,'10+ years','MORTGAGE',82000,10.57,724,'Fully Paid'
4625,'36 months',0.1285,'10+ years','MORTGAGE',82200,25.33,719,'Fully Paid'
16000,'36 months',0.079,'2 years','RENT',56000,29.1,709,'Fully Paid'
17000,'36 months',0.0603,'10+ years','MORTGAGE',92000,13.84,804,'Fully Paid'
12800,'60 months',0.1825,'1 year','RENT',48000,15.87,689,'Fully Paid'
15000,'36 months',0.1285,'6 years','MORTGAGE',90000,5.53,664,'Fully Paid'
14575,'36 months',0.1447,'10+ years','MORTGAGE',80000,27,729,'Fully Paid'
6700,'36 months',0.089,'10+ years','MORTGAGE',45000,5.15,704,'Fully Paid'
25000,'36 months',0.1285,'6 years','MORTGAGE',195000,12.86,704,'Fully Paid'
8000,'36 months',0.089,'5 years','MORTGAGE',40600,26.1,719,'Fully Paid'
9450,'36 months',0.1099,'1 year','RENT',40000,13.41,739,'Fully Paid'
4150,'36 months',0.1699,'10+ years','MORTGAGE',75000,13.97,679,'Fully Paid'
8000,'36 months',0.1199,'3 years','MORTGAGE',50000,21.17,679,'Fully Paid'
16800,'60 months',0.1398,'< 1 year','RENT',38875,17.01,704,'Fully Paid'
16000,'36 months',0.1353,'4 years','MORTGAGE',41000,15.87,704,'Fully Paid'
8000,'36 months',0.079,'< 1 year','RENT',52000,7.43,704,'Fully Paid'
7000,'36 months',0.1398,'10+ years','RENT',93000,2.13,689,'Fully Paid'
17050,'36 months',0.1285,'< 1 year','RENT',39000,16.92,704,'Fully Paid'
6500,'36 months',0.1353,'3 years','MORTGAGE',61000,15.19,664,'Fully Paid'
35000,'60 months',0.2606,'10+ years','RENT',83339,20.51,674,'Fully Paid'
9000,'36 months',0.0967,'< 1 year','MORTGAGE',35000,6.17,764,'Fully Paid'
6600,'36 months',0.1099,'1 year','MORTGAGE',77000,27.12,704,'Fully Paid'
30000,'60 months',0.1757,'8 years','MORTGAGE',108000,13.42,704,'Fully Paid'
14400,'36 months',0.1099,'1 year','RENT',67000,8.42,674,'Fully Paid'
18250,'36 months',0.1825,'4 years','RENT',65883,8.54,699,'Fully Paid'
16000,'60 months',0.1447,'2 years','RENT',120000,10.68,679,'Fully Paid'
13000,'36 months',0.1099,'7 years','MORTGAGE',55000,26.73,714,'Fully Paid'
12000,'60 months',0.1624,'2 years','RENT',87000,17.49,699,'Fully Paid'
5000,'36 months',0.1398,'< 1 year','OWN',110000,9.5,664,'Fully Paid'
20000,'36 months',0.1199,'7 years','MORTGAGE',78000,22.57,744,'Fully Paid'
15250,'60 months',0.1997,'3 years','MORTGAGE',43000,9.49,669,'Fully Paid'
35000,'36 months',0.1498,'10+ years','MORTGAGE',109000,22.03,694,'Fully Paid'
10050,'36 months',0.1624,'3 years','RENT',30000,25.27,699,'Fully Paid'
24000,'36 months',0.079,'10+ years','MORTGAGE',84000,19.79,699,'Fully Paid'
22750,'60 months',0.1757,'8 years','OWN',52000,17.45,669,'Fully Paid'
20000,'36 months',0.1561,'6 years','MORTGAGE',110000,9.45,689,'Fully Paid'
14000,'36 months',0.1353,'8 years','RENT',55000,10.6,684,'Fully Paid'
8000,'36 months',0.1398,'2 years','MORTGAGE',40000,20.35,674,'Fully Paid'
6600,'36 months',0.1199,'4 years','MORTGAGE',135000,10.87,684,'Fully Paid'
3500,'36 months',0.089,'10+ years','MORTGAGE',78000,8.31,734,'Fully Paid'
7200,'36 months',0.1498,'3 years','RENT',33280,9.81,694,'Fully Paid'
18000,'36 months',0.0762,'1 year','RENT',90000,8.55,719,'Fully Paid'
11325,'36 months',0.1997,'< 1 year','RENT',45000,10.99,674,'Fully Paid'
8500,'36 months',0.1398,'8 years','RENT',32000,15.34,674,'Fully Paid'
18000,'36 months',0.089,'1 year','MORTGAGE',80000,16.35,679,'Fully Paid'
10000,'36 months',0.1498,'10+ years','MORTGAGE',78000,14.66,679,'Fully Paid'
10000,'36 months',0.1099,'3 years','RENT',45000,3.44,694,'Fully Paid'
15000,'36 months',0.1285,'10+ years','RENT',81700,12.63,664,'Fully Paid'
20000,'36 months',0.089,'2 years','RENT',63000,22.48,684,'Fully Paid'
13250,'36 months',0.089,'7 years','MORTGAGE',70000,14.9,709,'Fully Paid'
10000,'36 months',0.1398,'5 years','MORTGAGE',35000,9.43,689,'Fully Paid'
29700,'60 months',0.1498,'10+ years','MORTGAGE',170000,23.74,734,'Fully Paid'
2400,'36 months',0.1757,'10+ years','OWN',50000,8.19,694,'Fully Paid'
10000,'36 months',0.1447,'10+ years','MORTGAGE',42000,15.6,704,'Fully Paid'
4200,'36 months',0.2148,'7 years','RENT',55000,15.62,664,'Fully Paid'
10000,'36 months',0.1285,'1 year','RENT',36000,18.4,674,'Fully Paid'
30000,'36 months',0.1285,'10+ years','MORTGAGE',110125,17.48,719,'Fully Paid'
11500,'36 months',0.1199,'n/a','MORTGAGE',50000,29.74,704,'Fully Paid'
13600,'36 months',0.0967,'5 years','MORTGAGE',80260,27.18,724,'Fully Paid'
5000,'36 months',0.0967,'10+ years','OWN',72000,3.22,669,'Fully Paid'
32350,'60 months',0.234,'10+ years','RENT',72000,10.1,669,'Fully Paid'
12000,'36 months',0.0762,'< 1 year','RENT',68000,23.19,684,'Fully Paid'
24000,'60 months',0.1285,'10+ years','MORTGAGE',95000,20.35,714,'Fully Paid'
13750,'36 months',0.1498,'10+ years','MORTGAGE',85000,18.61,669,'Fully Paid'
1200,'36 months',0.229,'4 years','RENT',27000,27.16,664,'Fully Paid'
11700,'60 months',0.237,'9 years','MORTGAGE',35000,22.46,694,'Fully Paid'
10000,'36 months',0.1353,'3 years','RENT',65000,6.63,694,'Fully Paid'
9600,'36 months',0.0967,'7 years','RENT',55000,14.23,699,'Fully Paid'
7000,'36 months',0.079,'7 years','MORTGAGE',69000,9.79,694,'Fully Paid'
10000,'36 months',0.1561,'3 years','RENT',85000,9.59,664,'Fully Paid'
6650,'36 months',0.229,'< 1 year','RENT',25000,19.06,664,'Fully Paid'
20675,'60 months',0.1757,'6 years','MORTGAGE',65000,31.5,749,'Fully Paid'
7000,'36 months',0.1561,'10+ years','RENT',41000,21.46,689,'Fully Paid'
6625,'36 months',0.1922,'3 years','RENT',27000,32.27,664,'Fully Paid'
10000,'36 months',0.1447,'7 years','RENT',58980,2.44,714,'Fully Paid'
13000,'36 months',0.079,'3 years','MORTGAGE',49000,7.76,689,'Fully Paid'
12000,'60 months',0.1353,'8 years','MORTGAGE',65300,11.51,704,'Fully Paid'
5000,'36 months',0.1498,'10+ years','MORTGAGE',67000,11.82,679,'Fully Paid'
25000,'36 months',0.1353,'2 years','MORTGAGE',78000,15.28,669,'Fully Paid'
24000,'36 months',0.1353,'2 years','MORTGAGE',72322,17.72,689,'Fully Paid'
11200,'36 months',0.0967,'< 1 year','RENT',120000,9.95,734,'Fully Paid'
24250,'36 months',0.1757,'5 years','RENT',54712,11.92,689,'Fully Paid'
7200,'36 months',0.1199,'10+ years','MORTGAGE',90000,17.91,699,'Fully Paid'
10000,'36 months',0.0967,'10+ years','MORTGAGE',56000,25.84,744,'Fully Paid'
12000,'36 months',0.0967,'< 1 year','MORTGAGE',60000,19.48,669,'Fully Paid'
9600,'36 months',0.0662,'3 years','RENT',50000,15.72,819,'Fully Paid'
11000,'36 months',0.0603,'8 years','MORTGAGE',108000,12.92,774,'Fully Paid'
6000,'36 months',0.1199,'4 years','MORTGAGE',40000,20.73,689,'Fully Paid'
12000,'36 months',0.1199,'9 years','OWN',40000,21,694,'Fully Paid'
